year,usd_disb,proj_n,bio_wtd,avg_size,bio_intensity
2015,2283.011704,4796,3217.4000008000003,0.47602412510425357,0.6708507090909092
2016,3994.53987,6661,4727.8000007,0.5996907176099685,0.7097733074163038
2017,3357.258079,6778,4436.8000006,0.495316919297728,0.6545883742401889
2018,2551.551141,6191,4078.4000013,0.41213877257308995,0.6587627202875141
2019,3664.257238,9668,6854.0000021,0.3790088165080679,0.7089366986036408
2020,3306.196893,8962,5964.4000033,0.3689128423343004,0.6655210894108459
2021,2847.482245,7657,5176.0000017,0.37187961930259894,0.6759827610944235
2022,2709.096172,9189,6036.600006,0.29481947676569814,0.6569376434867776
2023,6982.957503,15554,9606.8000191,0.44894930583772663,0.6176417654043975
