year,sdg_target,n_projects,base_year_n,project_share
2015,SDG15.1,231,83543,0.0027650431514309997
2015,SDG15.2,31,83543,0.00037106639694528564
2015,SDG15.3,19,83543,0.00022742779167614282
2015,SDG15.4,30,83543,0.00035909651317285707
2015,SDG15.5,14,83543,0.00016757837281399998
2015,SDG15.7,110,83543,0.0013166872149671426
2015,SDG15.8,23,83543,0.00027530732676585713
2015,SDG15.9,239,83543,0.0028608022216104283
2016,SDG15.1,279,94040,0.0029668226286686515
2016,SDG15.2,11,94040,0.0001169715014887282
2016,SDG15.3,17,94040,0.00018077413866439813
2016,SDG15.4,37,94040,0.00039344959591663123
2016,SDG15.5,55,94040,0.000584857507443641
2016,SDG15.7,218,94040,0.002318162484049341
2016,SDG15.8,4,94040,4.253509145044662e-05
2016,SDG15.9,252,94040,0.002679710761378137
2017,SDG15.1,264,96659,0.002731251099225111
2017,SDG15.2,20,96659,0.0002069129620625084
2017,SDG15.3,19,96659,0.000196567313959383
2017,SDG15.4,22,96659,0.00022760425826875926
2017,SDG15.5,31,96659,0.00032071509119688805
2017,SDG15.7,227,96659,0.0023484621194094705
2017,SDG15.8,27,96659,0.0002793324987843863
2017,SDG15.9,269,96659,0.0027829793397407382
2018,SDG15.1,246,112508,0.0021865111814270985
2018,SDG15.2,29,112508,0.0002577594482170157
2018,SDG15.3,24,112508,0.00021331816404166815
2018,SDG15.4,41,112508,0.00036441853023784975
2018,SDG15.5,66,112508,0.0005866249511145874
2018,SDG15.7,257,112508,0.002284282006612863
2018,SDG15.8,12,112508,0.00010665908202083408
2018,SDG15.9,281,112508,0.0024976001706545313
2019,SDG15.1,255,102156,0.002496182309409139
2019,SDG15.2,19,102156,0.0001859900544265633
2019,SDG15.3,13,102156,0.0001272563530287012
2019,SDG15.4,46,102156,0.0004502917107169427
2019,SDG15.5,45,102156,0.0004405027604839657
2019,SDG15.7,189,102156,0.001850111594032656
2019,SDG15.8,25,102156,0.00024472375582442537
2019,SDG15.9,305,102156,0.00298562982105799
2020,SDG15.1,286,104390,0.0027397260273972603
2020,SDG15.2,32,104390,0.00030654277229619697
2020,SDG15.3,13,104390,0.00012453300124533
2020,SDG15.4,30,104390,0.00028738384902768463
2020,SDG15.5,27,104390,0.0002586454641249162
2020,SDG15.7,107,104390,0.0010250023948654085
2020,SDG15.8,24,104390,0.00022990707922214773
2020,SDG15.9,443,104390,0.004243701503975477
2021,SDG15.1,286,163398,0.0017503274213882666
2021,SDG15.2,25,163398,0.00015300064872275057
2021,SDG15.3,28,163398,0.00017136072656948065
2021,SDG15.4,38,163398,0.00023256098605858088
2021,SDG15.5,37,163398,0.00022644096010967086
2021,SDG15.7,489,163398,0.0029926926890170014
2021,SDG15.8,25,163398,0.00015300064872275057
2021,SDG15.9,291,163398,0.0017809275511328168
2022,SDG15.1,269,120508,0.002232216948252398
2022,SDG15.2,33,120508,0.0002738407408636771
2022,SDG15.3,15,120508,0.00012447306402894415
2022,SDG15.4,34,120508,0.00028213894513227336
2022,SDG15.5,28,120508,0.00023234971952069573
2022,SDG15.7,150,120508,0.0012447306402894414
2022,SDG15.8,26,120508,0.00021575331098350317
2022,SDG15.9,240,120508,0.0019915690244631063
2023,SDG15.1,479,167506,0.00285959905913818
2023,SDG15.2,123,167506,0.0007343020548517665
2023,SDG15.3,80,167506,0.0004775948324239132
2023,SDG15.4,50,167506,0.0002984967702649457
2023,SDG15.5,25,167506,0.00014924838513247286
2023,SDG15.7,118,167506,0.0007044523778252719
2023,SDG15.8,25,167506,0.00014924838513247286
2023,SDG15.9,552,167506,0.0032954043437250008
