donor_name,total_disbursement_millions_usd,total_disbursement_billions_usd
United States,243241.704637,243.242
International Development Association,118292.602193,118.293
EU Institutions,84430.05998,84.43
Germany,70399.284194,70.399
France,35763.852836,35.764
Japan,34926.558566,34.927
Canada,20333.7573,20.334
United Kingdom,17506.07041,17.506
United Arab Emirates,14513.077246,14.513
Sweden,13341.320255999999,13.341
Asian Development Bank,11142.098324,11.142
Switzerland,8168.491331,8.168
Belgium,7666.982165,7.667
Australia,6828.546395,6.829
Italy,5870.863648,5.871
Inter-American Development Bank,5362.772019999999,5.363
Austria,5092.759561,5.093
Korea,4405.997443,4.406
Denmark,3468.493978,3.468
Spain,3394.215696,3.394
